activity_log_id,provider_id,actor_type,actor_user_id,event_type,entity_type,entity_id,message,metadata,created_at
39,P003,SYSTEM,,SPECIALIST_ONBOARDED,User,SP3002,"Specialist onboarded: Sarah Schwarz (QA Engineer, Mid).","{""skills"": [""Cypress"", ""GCP"", ""JUnit"", ""Spring"", ""Tableau"", ""Test Automation"", ""Test Design""], ""userId"": ""SP3002"", ""avgDailyRate"": 609.0, ""experienceLevel"": ""Mid"", ""technologyLevel"": ""Advanced""}",2024-01-16T12:30:00+00:00
1,P001,SYSTEM,,PROVIDER_CREATED,Provider,P001,Provider 'RheinTech Solutions GmbH' onboarded.,"{""name"": ""RheinTech Solutions GmbH"", ""providerId"": ""P001""}",2024-01-22T12:15:00+00:00
3,P003,SYSTEM,,PROVIDER_CREATED,Provider,P003,Provider 'Bavaria Digital Services GmbH' onboarded.,"{""name"": ""Bavaria Digital Services GmbH"", ""providerId"": ""P003""}",2024-01-24T08:00:00+00:00
329,P002,GROUP3_SYSTEM,,SERVICE_REQUEST_RECEIVED,ServiceRequest,SR033,Service request SR033 received and opened.,"{""type"": ""Team"", ""contractId"": ""C004"", ""serviceRequestId"": ""SR033""}",2024-01-24T13:15:00+00:00
330,P001,USER,U102,SERVICE_OFFER_SUBMITTED,ServiceOffer,85,Offer 85 submitted for service request SR033.,"{""offerId"": 85, ""dailyRate"": 546, ""totalCost"": 9282.0, ""serviceRequestId"": ""SR033""}",2024-01-25T13:15:00+00:00
334,P002,SYSTEM,,SERVICE_ORDER_CREATED,ServiceOrder,30,Service order 30 created from accepted offer 87.,"{""contractId"": ""C004"", ""serviceOrderId"": 30, ""serviceRequestId"": ""SR033""}",2024-01-26T17:00:00+00:00
332,P002,USER,U202,SERVICE_OFFER_SUBMITTED,ServiceOffer,87,Offer 87 submitted for service request SR033.,"{""offerId"": 87, ""dailyRate"": 853, ""totalCost"": 14501.0, ""serviceRequestId"": ""SR033""}",2024-01-28T13:15:00+00:00
331,P003,USER,U302,SERVICE_OFFER_SUBMITTED,ServiceOffer,86,Offer 86 submitted for service request SR033.,"{""offerId"": 86, ""dailyRate"": 627, ""totalCost"": 10659.0, ""serviceRequestId"": ""SR033""}",2024-01-30T13:15:00+00:00
18,P002,SYSTEM,,USER_CREATED,User,U202,Account created for Supplier Representative: Laura Koch.,"{""role"": ""Supplier Representative"", ""email"": ""laura.koch@nordcloud-consulting.de"", ""userId"": ""U202""}",2024-02-01T13:00:00+00:00
333,P002,GROUP3_SYSTEM,,SERVICE_OFFER_ACCEPTED,ServiceOffer,87,Offer 87 accepted for service request SR033.,"{""offerId"": 87, ""serviceRequestId"": ""SR033""}",2024-02-01T13:15:00+00:00
