service_request_id,linked_contract_id,title,type,status,offer_deadline_at,cycles,role,technology,experience_level,start_date,end_date,total_man_days,onsite_days,performance_location,required_languages,must_have_criteria,nice_to_have_criteria,task_description,created_at
SR033,C004,SAP Consultant for Azure – Rollout,Team,Closed,2024-02-01T13:15:00+00:00,2,SAP Consultant,Azure,Expert,2024-02-18,2024-03-09,17,1,Onshore,German,Fluent German language skills (C1) | Stakeholder management | Experience in regulated environments,Experience with data governance,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-01-24T13:15:00+00:00
SR021,C003,IT Consultant for SIEM – Rollout,Single,Closed,2024-02-11T16:30:00+00:00,1,IT Consultant,SIEM,Junior,2024-03-14,2024-04-03,12,3,Onsite,English | German,At least 3 years of project experience | Hands-on implementation experience,Knowledge of ITIL/COBIT | Experience with data governance | Knowledge of SAP S/4HANA,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-02-02T16:30:00+00:00
SR049,C006,Project Manager for SIEM – Migration,Single,Closed,2024-03-02T16:00:00+00:00,1,Project Manager,SIEM,Expert,2024-03-04,2024-03-24,19,1,Hybrid,English,Documentation according to internal standards | Experience in regulated environments | Fluent German language skills (C1) | Stakeholder management,Knowledge of ITIL/COBIT,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-02-21T16:00:00+00:00
SR015,C002,Data Analyst for SIEM – Rollout,Single,Closed,2024-03-05T14:45:00+00:00,1,Data Analyst,SIEM,Mid,2024-03-11,2024-03-31,19,0,Onshore,English,Stakeholder management | Hands-on implementation experience | At least 3 years of project experience,"Cloud experience (AWS/Azure) | Certifications (Scrum Master, Prince2)","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-02-22T14:45:00+00:00
SR047,C006,IT Consultant for Azure – Optimization,Work Contract,Closed,2024-03-08T12:30:00+00:00,2,IT Consultant,Azure,Mid,2024-03-23,2024-05-22,53,0,Hybrid,English | German,At least 3 years of project experience | Experience in agile teams (Scrum/Kanban),Experience with data governance | Knowledge of ITIL/COBIT | Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-02-25T12:30:00+00:00
SR012,C002,DevOps Engineer for Data Platform – Migration,Multi,Closed,2024-03-17T12:45:00+00:00,1,DevOps Engineer,Data Platform,Junior,2024-04-21,2024-07-20,64,0,Onshore,English,Experience in regulated environments | Experience in agile teams (Scrum/Kanban),Experience with data governance | Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-03-07T12:45:00+00:00
SR045,C006,Data Analyst for Data Platform – Operations,Work Contract,Closed,2024-04-18T15:30:00+00:00,2,Data Analyst,Data Platform,Mid,2024-04-25,2024-05-25,25,0,Hybrid,English,Fluent German language skills (C1) | Experience in agile teams (Scrum/Kanban) | Documentation according to internal standards,"Knowledge of ITIL/COBIT | Certifications (Scrum Master, Prince2) | Experience in the automotive industry","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-04-07T15:30:00+00:00
SR023,C003,QA Engineer for Data Platform – Migration,Multi,Closed,2024-05-15T09:00:00+00:00,1,QA Engineer,Data Platform,Senior,2024-05-30,2024-08-28,66,13,Onshore,German,Experience in agile teams (Scrum/Kanban) | At least 3 years of project experience,"Certifications (Scrum Master, Prince2)","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-05-04T09:00:00+00:00
SR024,C003,Cloud Architect for SAP S/4HANA – Optimization,Work Contract,Closed,2024-05-12T10:30:00+00:00,2,Cloud Architect,SAP S/4HANA,Expert,2024-05-11,2024-07-10,43,12,Onsite,English | German,Experience in regulated environments | Fluent German language skills (C1) | Hands-on implementation experience,Knowledge of SAP S/4HANA | Knowledge of ITIL/COBIT | Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-05-04T10:30:00+00:00
SR035,C005,IT Consultant for AWS – Migration,Single,Closed,2024-06-04T11:45:00+00:00,1,IT Consultant,AWS,Mid,2024-06-27,2024-07-02,4,0,Onshore,English | German,At least 3 years of project experience | Hands-on implementation experience,Experience with data governance,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-05-28T11:45:00+00:00
SR042,C006,Project Manager for Python/Django – Operations,Multi,Closed,2024-06-11T16:00:00+00:00,1,Project Manager,Python/Django,Expert,2024-06-20,2024-07-05,14,1,Onsite,English,Experience in agile teams (Scrum/Kanban) | At least 3 years of project experience,Experience in the automotive industry | Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-06-02T16:00:00+00:00
SR016,C002,Project Manager for React/TypeScript – Rollout,Single,Closed,2024-07-07T14:30:00+00:00,1,Project Manager,React/TypeScript,Senior,2024-07-11,2024-07-31,14,1,Onsite,English,Experience in agile teams (Scrum/Kanban) | Experience in regulated environments,"Certifications (Scrum Master, Prince2)","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-06-27T14:30:00+00:00
SR003,C001,Data Analyst for Python/Django – Rollout,Single,Closed,2024-07-21T17:15:00+00:00,1,Data Analyst,Python/Django,Mid,2024-07-22,2024-08-01,9,2,Hybrid,English | German,Hands-on implementation experience | Stakeholder management | Documentation according to internal standards,Experience with data governance | Knowledge of SAP S/4HANA,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-07-11T17:15:00+00:00
SR020,C003,Project Manager for React/TypeScript – Optimization,Work Contract,Closed,2024-08-19T13:30:00+00:00,2,Project Manager,React/TypeScript,Senior,2024-09-13,2024-09-16,2,0,Onsite,German | English,Experience in agile teams (Scrum/Kanban) | At least 3 years of project experience | Fluent German language skills (C1) | Experience in regulated environments,Knowledge of ITIL/COBIT | Experience with data governance,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-08-11T13:30:00+00:00
SR002,C001,IT Consultant for SAP S/4HANA – Implementation,Single,Closed,2024-08-30T10:30:00+00:00,1,IT Consultant,SAP S/4HANA,Senior,2024-09-13,2024-10-13,19,5,Hybrid,German,Experience in regulated environments | Experience in agile teams (Scrum/Kanban) | Documentation according to internal standards | Hands-on implementation experience,Experience with data governance | Knowledge of ITIL/COBIT | Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-08-19T10:30:00+00:00
SR040,C005,UX Designer for React/TypeScript – Rollout,Team,Closed,2024-09-15T12:00:00+00:00,2,UX Designer,React/TypeScript,Senior,2024-09-19,2024-09-24,3,0,Hybrid,German | English,Experience in regulated environments | Stakeholder management | Experience in agile teams (Scrum/Kanban) | At least 3 years of project experience,"Knowledge of SAP S/4HANA | Certifications (Scrum Master, Prince2)","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-09-03T12:00:00+00:00
SR006,C001,IT Consultant for SIEM – Migration,Work Contract,Closed,2024-09-20T14:00:00+00:00,2,IT Consultant,SIEM,Senior,2024-10-13,2024-10-28,9,0,Hybrid,English,Documentation according to internal standards | Fluent German language skills (C1) | Experience in agile teams (Scrum/Kanban) | Stakeholder management,Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-09-13T14:00:00+00:00
SR018,C003,IT Consultant for SIEM – Rollout,Single,Closed,2024-09-26T11:00:00+00:00,1,IT Consultant,SIEM,Junior,2024-10-01,2024-10-04,2,0,Onshore,German | English,Documentation according to internal standards | At least 3 years of project experience,"Certifications (Scrum Master, Prince2) | Knowledge of ITIL/COBIT","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-09-18T11:00:00+00:00
SR019,C003,Backend Engineer for Kubernetes – Optimization,Work Contract,Closed,2024-10-01T12:15:00+00:00,2,Backend Engineer,Kubernetes,Expert,2024-10-18,2024-10-23,4,0,Hybrid,German,Stakeholder management | Documentation according to internal standards,Experience in the automotive industry,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-09-20T12:15:00+00:00
SR004,C001,Project Manager for Kubernetes – Implementation,Team,Closed,2024-10-05T15:45:00+00:00,2,Project Manager,Kubernetes,Junior,2024-11-04,2025-03-04,101,20,Onshore,English | German,Fluent German language skills (C1) | Experience in regulated environments | Documentation according to internal standards,Experience with data governance | Knowledge of SAP S/4HANA,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-09-25T15:45:00+00:00
SR017,C003,Cybersecurity Specialist for AWS – Migration,Work Contract,Closed,2024-10-09T08:15:00+00:00,2,Cybersecurity Specialist,AWS,Expert,2024-11-15,2024-11-20,3,0,Onshore,English,At least 3 years of project experience | Stakeholder management | Hands-on implementation experience | Documentation according to internal standards,Experience in the automotive industry | Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-10-02T08:15:00+00:00
SR034,C004,SAP Consultant for Data Platform – Migration,Work Contract,Closed,2024-10-26T11:00:00+00:00,2,SAP Consultant,Data Platform,Expert,2024-11-08,2024-11-18,9,0,Hybrid,English | German,At least 3 years of project experience | Experience in agile teams (Scrum/Kanban),"Certifications (Scrum Master, Prince2) | Cloud experience (AWS/Azure)","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-10-20T11:00:00+00:00
SR025,C003,Cloud Architect for AWS – Optimization,Multi,Closed,2024-12-25T14:00:00+00:00,1,Cloud Architect,AWS,Expert,2024-12-27,2025-01-01,3,0,Onsite,German,Fluent German language skills (C1) | Experience in regulated environments | Documentation according to internal standards,Knowledge of SAP S/4HANA | Experience with data governance | Knowledge of ITIL/COBIT,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2024-12-20T14:00:00+00:00
SR044,C006,QA Engineer for AWS – Rollout,Work Contract,Closed,2025-01-08T11:45:00+00:00,2,QA Engineer,AWS,Mid,2025-01-30,2025-05-30,86,8,Hybrid,English | German,Stakeholder management | Experience in agile teams (Scrum/Kanban) | Fluent German language skills (C1) | At least 3 years of project experience,Knowledge of ITIL/COBIT | Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-01-01T11:45:00+00:00
SR029,C004,Backend Engineer for Kubernetes – Migration,Team,Closed,2025-01-09T18:00:00+00:00,2,Backend Engineer,Kubernetes,Expert,2025-01-10,2025-01-15,4,1,Hybrid,German | English,At least 3 years of project experience | Experience in agile teams (Scrum/Kanban),"Certifications (Scrum Master, Prince2) | Experience in the automotive industry","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-01-01T18:00:00+00:00
SR001,C001,IT Consultant for Python/Django – Rollout,Work Contract,Closed,2025-01-18T09:15:00+00:00,2,IT Consultant,Python/Django,Senior,2025-01-26,2025-04-26,62,0,Onsite,German,Hands-on implementation experience | Stakeholder management | Fluent German language skills (C1),Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-01-10T09:15:00+00:00
SR027,C004,UX Designer for Kubernetes – Optimization,Single,Closed,2025-02-17T16:45:00+00:00,1,UX Designer,Kubernetes,Mid,2025-03-17,2025-06-15,68,20,Onsite,German | English,Experience in agile teams (Scrum/Kanban) | At least 3 years of project experience | Stakeholder management,Knowledge of ITIL/COBIT,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-02-12T16:45:00+00:00
SR009,C002,Project Manager for Kubernetes – Optimization,Work Contract,Closed,2025-03-10T13:30:00+00:00,2,Project Manager,Kubernetes,Senior,2025-03-20,2025-03-25,3,0,Onshore,English | German,Stakeholder management | Experience in regulated environments | Hands-on implementation experience,Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-02-26T13:30:00+00:00
SR048,C006,UX Designer for React/TypeScript – Migration,Multi,Closed,2025-03-20T15:00:00+00:00,1,UX Designer,React/TypeScript,Junior,2025-03-23,2025-04-12,17,0,Onsite,English | German,Hands-on implementation experience | Documentation according to internal standards | Stakeholder management | Experience in agile teams (Scrum/Kanban),Cloud experience (AWS/Azure) | Knowledge of SAP S/4HANA | Experience in the automotive industry,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-03-12T15:00:00+00:00
SR013,C002,SAP Consultant for Data Platform – Operations,Single,Closed,2025-03-25T17:30:00+00:00,1,SAP Consultant,Data Platform,Junior,2025-03-25,2025-06-23,63,6,Onshore,German,At least 3 years of project experience | Stakeholder management | Experience in regulated environments | Experience in agile teams (Scrum/Kanban),"Experience with data governance | Knowledge of SAP S/4HANA | Certifications (Scrum Master, Prince2)","Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-03-17T17:30:00+00:00
SR039,C005,SAP Consultant for React/TypeScript – Optimization,Single,Closed,2025-04-10T18:15:00+00:00,1,SAP Consultant,React/TypeScript,Junior,2025-05-16,2025-07-15,39,0,Onshore,German,Experience in agile teams (Scrum/Kanban) | Hands-on implementation experience | Experience in regulated environments,Knowledge of SAP S/4HANA | Experience with data governance | Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-04-01T18:15:00+00:00
SR030,C004,Backend Engineer for AWS – Rollout,Single,Closed,2025-04-21T13:15:00+00:00,1,Backend Engineer,AWS,Mid,2025-04-26,2025-06-25,50,15,Onsite,English,At least 3 years of project experience | Hands-on implementation experience,Experience in the automotive industry,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-04-10T13:15:00+00:00
SR010,C002,Data Analyst for Data Platform – Rollout,Single,Closed,2025-04-27T15:30:00+00:00,1,Data Analyst,Data Platform,Junior,2025-05-05,2025-09-02,102,10,Onsite,German | English,Experience in regulated environments | Stakeholder management,Experience in the automotive industry,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-04-20T15:30:00+00:00
SR007,C001,Backend Engineer for AWS – Operations,Single,Closed,2025-05-16T08:45:00+00:00,1,Backend Engineer,AWS,Expert,2025-06-10,2025-06-30,17,3,Onsite,English | German,Fluent German language skills (C1) | Experience in agile teams (Scrum/Kanban),Experience with data governance | Experience in the automotive industry | Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-05-11T08:45:00+00:00
SR037,C005,Backend Engineer for Python/Django – Operations,Work Contract,Closed,2025-06-11T08:00:00+00:00,2,Backend Engineer,Python/Django,Mid,2025-06-11,2025-06-26,12,0,Onshore,German,Experience in regulated environments | At least 3 years of project experience | Fluent German language skills (C1) | Experience in agile teams (Scrum/Kanban),Cloud experience (AWS/Azure),"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-06-01T08:00:00+00:00
SR008,C001,QA Engineer for Data Platform – Optimization,Work Contract,Closed,2025-06-17T15:30:00+00:00,2,QA Engineer,Data Platform,Mid,2025-07-17,2025-08-06,18,5,Onshore,German,Experience in regulated environments | Stakeholder management,Knowledge of SAP S/4HANA,"Tasks: analysis, implementation, testing, documentation, and regular alignment meetings. Deliverables according to the project plan and quality guidelines.",2025-06-07T15:30:00+00:00
