service_order_id,service_offer_id,service_request_id,provider_id,specialist_user_id,title,start_date,end_date,location,man_days,total_cost,status,created_at
30,87,SR033,P002,SP2015,SAP Consultant – Azure (Team),2024-02-18,2024-03-09,Onshore,17,14501.00,Completed,2024-01-26T17:00:00+00:00
44,124,SR049,P003,SP3004,Project Manager – SIEM (Single),2024-03-04,2024-03-24,Hybrid,19,18775.00,Completed,2024-02-24T15:45:00+00:00
14,37,SR015,P001,SP1003,Data Analyst – SIEM (Single),2024-03-11,2024-03-31,Onshore,19,12977.00,Completed,2024-03-01T13:30:00+00:00
43,119,SR047,P002,SP2003,IT Consultant – Azure (Work Contract),2024-03-23,2024-05-22,Hybrid,53,42347.00,Active,2024-03-10T10:45:00+00:00
12,30,SR012,P003,SP3012,DevOps Engineer – Data Platform (Multi),2024-04-21,2024-07-20,Onshore,64,26240.00,Completed,2024-03-13T17:45:00+00:00
41,114,SR045,P002,SP2001,Data Analyst – Data Platform (Work Contract),2024-04-25,2024-05-25,Hybrid,25,10450.00,Completed,2024-04-17T14:15:00+00:00
21,61,SR024,P002,SP2005,Cloud Architect – SAP S/4HANA (Work Contract),2024-05-11,2024-07-10,Onsite,43,35849.00,Completed,2024-05-06T14:45:00+00:00
20,60,SR023,P001,SP1002,QA Engineer – Data Platform (Multi),2024-05-30,2024-08-28,Onshore,66,34848.00,Completed,2024-05-19T10:00:00+00:00
32,90,SR035,P001,SP1001,IT Consultant – AWS (Single),2024-06-27,2024-07-02,Onshore,4,1720.00,Completed,2024-06-04T18:30:00+00:00
15,41,SR016,P003,SP3007,Project Manager – React/TypeScript (Single),2024-07-11,2024-07-31,Onsite,14,14620.00,Completed,2024-06-29T16:45:00+00:00
3,8,SR003,P001,SP1005,Data Analyst – Python/Django (Single),2024-07-22,2024-08-01,Hybrid,9,8684.00,Completed,2024-07-12T15:15:00+00:00
18,52,SR020,P001,SP1002,Project Manager – React/TypeScript (Work Contract),2024-09-13,2024-09-16,Onsite,2,1086.00,Completed,2024-08-11T11:45:00+00:00
2,6,SR002,P003,SP3008,IT Consultant – SAP S/4HANA (Single),2024-09-13,2024-10-13,Hybrid,19,9556.00,Completed,2024-08-22T16:15:00+00:00
37,102,SR040,P001,SP1002,UX Designer – React/TypeScript (Team),2024-09-19,2024-09-24,Hybrid,3,1629.00,Completed,2024-09-05T14:45:00+00:00
6,14,SR006,P003,SP3001,IT Consultant – SIEM (Work Contract),2024-10-13,2024-10-28,Hybrid,9,8343.00,Completed,2024-09-26T08:30:00+00:00
