service_offer_id,service_request_id,provider_id,specialist_user_id,created_by_user_id,daily_rate,travel_cost_per_onsite_day,total_cost,contractual_relationship,subcontractor_company,must_have_match_percentage,nice_to_have_match_percentage,status,submitted_at,created_at
87,SR033,P002,SP2015,U202,853.00,0.00,14501.00,Subcontractor,Freelance Partner GmbH,92,78,Accepted,2024-01-28T13:15:00+00:00,2024-01-24T22:15:00+00:00
85,SR033,P001,SP1001,U102,546.00,0.00,9282.00,Employee,IT Subcontracting KG,82,74,Rejected,2024-01-25T13:15:00+00:00,2024-01-25T06:15:00+00:00
86,SR033,P003,SP3017,U302,627.00,0.00,10659.00,Freelancer,Freelance Partner GmbH,71,64,Rejected,2024-01-30T13:15:00+00:00,2024-01-25T10:15:00+00:00
53,SR021,P001,SP1008,U102,648.00,60.00,7956.00,Freelancer,IT Subcontracting KG,96,60,Submitted,2024-02-08T16:30:00+00:00,2024-02-02T22:30:00+00:00
54,SR021,P002,SP2002,U202,741.00,110.00,9222.00,Subcontractor,Freelance Partner GmbH,71,95,Submitted,2024-02-03T16:30:00+00:00,2024-02-03T06:30:00+00:00
55,SR021,P003,SP3014,U302,1132.00,80.00,13824.00,Subcontractor,,98,88,Submitted,2024-02-03T16:30:00+00:00,2024-02-03T10:30:00+00:00
126,SR049,P001,SP1010,U102,1254.00,40.00,23866.00,Freelancer,,84,67,Rejected,2024-02-27T16:00:00+00:00,2024-02-22T17:00:00+00:00
125,SR049,P002,SP2009,U202,1173.00,40.00,22327.00,Employee,,85,63,Rejected,2024-02-27T16:00:00+00:00,2024-02-22T22:00:00+00:00
124,SR049,P003,SP3004,U302,985.00,60.00,18775.00,Employee,Freelance Partner GmbH,81,95,Accepted,2024-02-24T16:00:00+00:00,2024-02-23T07:00:00+00:00
39,SR015,P002,SP2002,U202,805.00,0.00,15295.00,Employee,,74,85,Rejected,2024-02-25T14:45:00+00:00,2024-02-23T09:45:00+00:00
37,SR015,P001,SP1003,U102,683.00,0.00,12977.00,Subcontractor,Freelance Partner GmbH,92,66,Accepted,2024-02-23T14:45:00+00:00,2024-02-23T15:45:00+00:00
38,SR015,P003,SP3010,U302,961.00,0.00,18259.00,Employee,,89,95,Rejected,2024-02-26T14:45:00+00:00,2024-02-23T21:45:00+00:00
120,SR047,P003,SP3014,U302,1231.00,0.00,65243.00,Employee,,74,58,Rejected,2024-02-27T12:30:00+00:00,2024-02-25T22:30:00+00:00
119,SR047,P002,SP2003,U202,799.00,0.00,42347.00,Freelancer,Freelance Partner GmbH,78,79,Accepted,2024-03-02T12:30:00+00:00,2024-02-26T22:30:00+00:00
30,SR012,P003,SP3012,U302,410.00,0.00,26240.00,Employee,Freelance Partner GmbH,86,83,Accepted,2024-03-12T12:45:00+00:00,2024-03-08T09:45:00+00:00
31,SR012,P001,SP1010,U102,1068.00,0.00,68352.00,Employee,,73,80,Rejected,2024-03-10T12:45:00+00:00,2024-03-08T13:45:00+00:00
116,SR045,P001,SP1002,U102,468.00,0.00,11700.00,Subcontractor,Freelance Partner GmbH,75,59,Rejected,2024-04-08T15:30:00+00:00,2024-04-08T14:30:00+00:00
115,SR045,P003,SP3007,U302,895.00,0.00,22375.00,Employee,IT Subcontracting KG,93,70,Rejected,2024-04-09T15:30:00+00:00,2024-04-08T17:30:00+00:00
114,SR045,P002,SP2001,U202,418.00,0.00,10450.00,Employee,IT Subcontracting KG,81,55,Accepted,2024-04-10T15:30:00+00:00,2024-04-09T04:30:00+00:00
60,SR023,P001,SP1002,U102,528.00,0.00,34848.00,Subcontractor,,88,88,Accepted,2024-05-06T09:00:00+00:00,2024-05-05T13:00:00+00:00
59,SR023,P002,SP2010,U202,698.00,0.00,46068.00,Freelancer,Freelance Partner GmbH,70,73,Rejected,2024-05-08T09:00:00+00:00,2024-05-05T13:00:00+00:00
61,SR024,P002,SP2005,U202,803.00,110.00,35849.00,Subcontractor,,80,79,Accepted,2024-05-07T10:30:00+00:00,2024-05-05T15:30:00+00:00
62,SR024,P003,SP3012,U302,484.00,60.00,21532.00,Subcontractor,IT Subcontracting KG,75,90,Rejected,2024-05-05T10:30:00+00:00,2024-05-05T19:30:00+00:00
90,SR035,P001,SP1001,U102,430.00,0.00,1720.00,Subcontractor,Freelance Partner GmbH,96,80,Accepted,2024-06-01T11:45:00+00:00,2024-05-28T16:45:00+00:00
91,SR035,P002,SP2007,U202,547.00,0.00,2188.00,Employee,Freelance Partner GmbH,76,66,Rejected,2024-05-31T11:45:00+00:00,2024-05-29T08:45:00+00:00
107,SR042,P003,SP3008,U302,500.00,110.00,7110.00,Employee,Freelance Partner GmbH,88,90,Submitted,2024-06-05T16:00:00+00:00,2024-06-03T18:00:00+00:00
108,SR042,P001,SP1003,U102,796.00,80.00,11224.00,Subcontractor,IT Subcontracting KG,72,73,Submitted,2024-06-03T16:00:00+00:00,2024-06-03T20:00:00+00:00
109,SR042,P002,SP2014,U202,929.00,60.00,13066.00,Employee,IT Subcontracting KG,77,68,Submitted,2024-06-05T16:00:00+00:00,2024-06-03T22:00:00+00:00
41,SR016,P003,SP3007,U302,1040.00,60.00,14620.00,Employee,Freelance Partner GmbH,97,88,Accepted,2024-07-01T14:30:00+00:00,2024-06-28T01:30:00+00:00
40,SR016,P001,SP1009,U102,840.00,80.00,11840.00,Employee,IT Subcontracting KG,73,58,Rejected,2024-07-02T14:30:00+00:00,2024-06-29T02:30:00+00:00
7,SR003,P002,SP2008,U202,866.00,80.00,7954.00,Freelancer,IT Subcontracting KG,71,77,Rejected,2024-07-16T17:15:00+00:00,2024-07-12T01:15:00+00:00
8,SR003,P001,SP1005,U102,956.00,40.00,8684.00,Employee,Freelance Partner GmbH,96,73,Accepted,2024-07-12T17:15:00+00:00,2024-07-12T02:15:00+00:00
51,SR020,P002,SP2003,U202,866.00,0.00,1732.00,Subcontractor,Freelance Partner GmbH,75,89,Rejected,2024-08-17T13:30:00+00:00,2024-08-11T20:30:00+00:00
52,SR020,P001,SP1002,U102,543.00,0.00,1086.00,Subcontractor,,94,55,Accepted,2024-08-15T13:30:00+00:00,2024-08-12T01:30:00+00:00
50,SR020,P003,SP3016,U302,1035.00,0.00,2070.00,Subcontractor,IT Subcontracting KG,85,84,Rejected,2024-08-13T13:30:00+00:00,2024-08-12T15:30:00+00:00
6,SR002,P003,SP3008,U302,474.00,110.00,9556.00,Subcontractor,,82,74,Accepted,2024-08-25T10:30:00+00:00,2024-08-20T11:30:00+00:00
4,SR002,P001,SP1006,U102,681.00,110.00,13489.00,Subcontractor,IT Subcontracting KG,83,73,Rejected,2024-08-20T10:30:00+00:00,2024-08-20T15:30:00+00:00
5,SR002,P002,SP2001,U202,508.00,60.00,9952.00,Subcontractor,Freelance Partner GmbH,96,78,Rejected,2024-08-20T10:30:00+00:00,2024-08-20T17:30:00+00:00
102,SR040,P001,SP1002,U102,543.00,0.00,1629.00,Freelancer,,75,68,Accepted,2024-09-05T12:00:00+00:00,2024-09-04T00:00:00+00:00
101,SR040,P002,SP2015,U202,867.00,0.00,2601.00,Employee,IT Subcontracting KG,88,88,Rejected,2024-09-08T12:00:00+00:00,2024-09-04T01:00:00+00:00
103,SR040,P003,SP3003,U302,1040.00,0.00,3120.00,Freelancer,,96,95,Rejected,2024-09-05T12:00:00+00:00,2024-09-04T08:00:00+00:00
15,SR006,P001,SP1002,U102,532.00,0.00,4788.00,Employee,Freelance Partner GmbH,73,58,Rejected,2024-09-15T14:00:00+00:00,2024-09-14T20:00:00+00:00
14,SR006,P003,SP3001,U302,927.00,0.00,8343.00,Employee,IT Subcontracting KG,93,93,Accepted,2024-09-18T14:00:00+00:00,2024-09-14T21:00:00+00:00
16,SR006,P002,SP2010,U202,685.00,0.00,6165.00,Employee,Freelance Partner GmbH,89,89,Rejected,2024-09-14T14:00:00+00:00,2024-09-15T02:00:00+00:00
45,SR018,P001,SP1004,U102,433.00,0.00,866.00,Employee,IT Subcontracting KG,86,69,Accepted,2024-09-22T11:00:00+00:00,2024-09-19T10:00:00+00:00
47,SR018,P003,SP3002,U302,603.00,0.00,1206.00,Subcontractor,IT Subcontracting KG,82,88,Rejected,2024-09-21T11:00:00+00:00,2024-09-19T17:00:00+00:00
46,SR018,P002,SP2005,U202,588.00,0.00,1176.00,Subcontractor,IT Subcontracting KG,75,95,Rejected,2024-09-24T11:00:00+00:00,2024-09-19T18:00:00+00:00
48,SR019,P001,SP1008,U102,774.00,0.00,3096.00,Freelancer,Freelance Partner GmbH,70,68,Rejected,2024-09-22T12:15:00+00:00,2024-09-20T23:15:00+00:00
49,SR019,P003,SP3016,U302,1095.00,0.00,4380.00,Subcontractor,IT Subcontracting KG,92,68,Accepted,2024-09-24T12:15:00+00:00,2024-09-21T07:15:00+00:00
9,SR004,P003,SP3010,U302,848.00,0.00,85648.00,Subcontractor,IT Subcontracting KG,97,64,Rejected,2024-09-28T15:45:00+00:00,2024-09-26T00:45:00+00:00
10,SR004,P002,SP2010,U202,599.00,0.00,60499.00,Freelancer,Freelance Partner GmbH,90,80,Accepted,2024-09-27T15:45:00+00:00,2024-09-26T00:45:00+00:00
44,SR017,P001,SP1009,U102,892.00,0.00,2676.00,Freelancer,,77,84,Submitted,2024-10-05T08:15:00+00:00,2024-10-02T21:15:00+00:00
42,SR017,P002,SP2007,U202,582.00,0.00,1746.00,Subcontractor,IT Subcontracting KG,74,77,Submitted,2024-10-03T08:15:00+00:00,2024-10-02T23:15:00+00:00
43,SR017,P003,SP3018,U302,1049.00,0.00,3147.00,Employee,IT Subcontracting KG,77,55,Submitted,2024-10-03T08:15:00+00:00,2024-10-03T07:15:00+00:00
88,SR034,P002,SP2008,U202,973.00,0.00,8757.00,Employee,,75,74,Accepted,2024-10-26T11:00:00+00:00,2024-10-20T17:00:00+00:00
89,SR034,P003,SP3007,U302,1144.00,0.00,10296.00,Freelancer,,72,70,Rejected,2024-10-23T11:00:00+00:00,2024-10-21T16:00:00+00:00
